#,年,月,期,标题,栏目,栏目e,行业,作者,内容
99,Y2020,M01,#463,绿色资产证券化路径研究—— 以安徽省光伏发电产业为例  ,金融前沿,Financial Foresight,--,叶文辉 李嘉,"—— 以安徽省光伏发电
◎叶文辉  李嘉
摘要：安徽省作为光伏产业大省和光伏扶贫重
地，近年来在光伏发电上取得了长足发展，但也面
临光伏资产流动性差等问题和挑战。资产证券化作
为一种融资手段，对于提高以光伏为代表的绿色资
产流动性、促进绿色产业稳定发展，具有重要意义
本文分析研究了绿色资产证券化路径，并结合安徽
省光伏发电资产的特点，提出了运用光伏发电天气
指数保险来规避天气风险，确定拟证券化用户的最
低上网额度来保证电费收入，区分光伏资产不同部
分的证券化比例来合理化解补贴政策风险等措施
文章创新地提出利用“保险+证券”来保障资产证
券化，通过“补贴+保险+证券”来更好地促进光
伏产业的发展。
关键词：绿色资产；资产证券化；光伏发电
中图分类号：F832     文献标识码：A
一、研究背景
近年来，安徽省开始大力引进光伏设备制造等
战略性新兴产业，光伏相关产品产量名列全国前列
2018年太阳能电池产量位居全国第三。安徽省光伏
发电装机量呈爆发式增长，截至2018年年末，累
计装机容量达1118万千瓦，位居全国第五。特别
是随着光伏扶贫的推进，建成的光伏扶贫项目装机
量至2018年年末已达240余万千瓦，居全国首位
可预见的是，随着国家倡导绿色发展，大力推进精 ..."
100,Y2020,M01,#463,绿色资产证券化路径研究—— 以安徽省光伏发电产业为例,金融前沿,Financial Foresight,--,叶文辉 李嘉,"—— 以安徽省光伏发电
◎叶文辉  李嘉
摘要：安徽省作为光伏产业大省和光伏扶贫重
地，近年来在光伏发电上取得了长足发展，但也面
临光伏资产流动性差等问题和挑战。资产证券化作
为一种融资手段，对于提高以光伏为代表的绿色资
产流动性、促进绿色产业稳定发展，具有重要意义
本文分析研究了绿色资产证券化路径，并结合安徽
省光伏发电资产的特点，提出了运用光伏发电天气
指数保险来规避天气风险，确定拟证券化用户的最
低上网额度来保证电费收入，区分光伏资产不同部
分的证券化比例来合理化解补贴政策风险等措施
文章创新地提出利用“保险+证券”来保障资产证
券化，通过“补贴+保险+证券”来更好地促进光
伏产业的发展。
关键词：绿色资产；资产证券化；光伏发电
中图分类号：F832     文献标识码：A
一、研究背景
近年来，安徽省开始大力引进光伏设备制造等
战略性新兴产业，光伏相关产品产量名列全国前列
2018年太阳能电池产量位居全国第三。安徽省光伏
发电装机量呈爆发式增长，截至2018年年末，累
计装机容量达1118万千瓦，位居全国第五。特别
是随着光伏扶贫的推进，建成的光伏扶贫项目装机
量至2018年年末已达240余万千瓦，居全国首位
可预见的是，随着国家倡导绿色发展，大力推进精 ..."
101,Y2020,M08,#470,后疫情时代的金融业新业态与新模式,特稿,Feature,--, 刘连舸,"与新模式①
◎刘连舸
感谢大家在百忙之中出席中国国际金融学会
第六次会员代表大会，我谨代表中国银行和中国
国际金融学会，向与会的各位理事致以真挚的谢
意！同时，衷心感谢大家的信任，能够加入中国
国际金融学会这样一个为国家发展、金融发展做
出贡献的学术群体，既感到光荣，也感到责任重大
2020年初，新冠肺炎疫情突如其来，经济金
融发生重大变化。当前，尽管我国疫情防控已进
入平稳期，但其他国家仍在蔓延，疫情加速推进
百年变局，正在改变整个世界。今天，我想借此
机会，谈谈“后疫情时代的金融业新业态与新模
式”，以此为端倪，可以管窥未来金融业发展的新
趋势。
疫情对全球经济与社会运行产生深远的影响
正在重塑金融业发展环境。
一是全球“低增长、低通胀、低利率”的“三低
困局进一步深化。在2019年年底的中国国际金融
学会年会上，有专家强调，全球经济正陷入“三低
困局，引发广泛关注。此次疫情暴发，造成全球 ..."
102,Y2020,M08,#470,国际基准利率算法简析及我国的应对方案 ,银行家论坛,Banker's Forum,--,罗颖  郑一巍  戴雅雪,"应对方案
◎罗颖  郑一巍  戴雅雪
摘要：LIBOR将于2021年年末取消。随着该时
间节点的临近，以LIBOR定价的金融产品利率基准
转换压力不断加大。持有较大外币敞口的国内商业
银行，需要尽快明确替代基准利率算法规则，加快
推进业务系统改造，启动备份合同拟订并重检外币
业务策略，加大对客户的宣传力度。建议我国外币
基准利率改革在遵循市场原则和国际通行规则的基
础上，培育并完善境内外币定价体系，强化对跨境
资本流动的监控，防范境内外币流动性风险；同时
要充分考虑国内的实际情况，统一境内转换规则
实现境内基准利率改革的平稳过渡。
关键词：国际基准利率；算法简析；应对措施
中图分类号：F832         文献标识码：A
国际基准利率改革的主流趋势是用基于实际交
易生成、近似无风险的隔夜利率替代LIBOR，以尽
可能回归利率本源。与LIBOR等传统报价利率相比
替代基准利率不含期限溢价，期限仅为隔夜，依托
具有良好流动性和较大市场容量的交易，剔除了人
为预期因素，但价格只能在交易发生后取得。
上述利率特性给当前金融产品的LIBOR定价习
惯带来冲击，也给银行运营操作、风险管理，以及 ..."
103,Y2020,M08,#470,新冠肺炎疫情影响下迫在眉睫的欧洲债务问题 ,外国专家看新冠肺炎疫情专栏,Special Column,--,Nout Wellink,"欧洲债务问题
◎Nout Wellink
摘要：本文重点讨论了新冠肺炎疫情影响下的
公共债务激增问题。文章预测，2020年，欧洲各国
的GDP可能将平均下降5％至10％。本文提出，在
新冠肺炎疫情来临之时，欧洲债务已经处于历史高
位。在新冠肺炎疫情影响下，2020年欧洲GDP将
下降，而政府承担大量财政支出的经济复苏计划将
耗时4年或更长时间。这些因素将使政府债务比率
大幅增长。若不能及时找到欧洲债务问题的解决方
案，欧洲经济可能承受较大压力。此外，疫情下为
拯救经济而采用的持续宽松货币政策还带来了通胀
风险，而要避免经济陷入滞胀，需要各国及国际组
织在多个跨境领域开展广泛、深入的合作。
关键词：新冠肺炎疫情；欧洲债务；欧洲中央银
行；经济增长
中图分类号：F831         文献标识码：A
一、新冠肺炎疫情冲击全球经济
（一）防范新冠肺炎疫情二次暴发的风险
无论危机爆发在哪个领域，都会使一国经济遭
受侵蚀。1953年，荷兰遭受了中世纪以来最严重的
洪水袭击。在第一波洪水将堤坝破坏后，第二波洪
水的到来使居民彻底陷入困境。与之相似，1979年 ..."
104,Y2020,M08,#470,新冠肺炎疫情引发的有关自由市场的几点思考 ,外国专家看新冠肺炎疫情专栏,Special Column,--,Herbert Poenisch,"的几点思考
◎Herbert Poenisch
摘要：2020年，新冠肺炎疫情在全球范围内持续
蔓延，自由市场在全球化中的主导地位已受到挑战
卡尔·波兰尼在《大转型》中运用市场自我调节理论
分析了自由市场带来的影响与面临的挑战，本文指出
自由市场可能会影响人的基本需求，而在新冠肺炎疫
情的背景下可能会进一步影响收入、产出、人员流动
性等。中国政府提出的应对新冠肺炎疫情的举措通过
满足人们的基本需求来建立更加具有活力的市场，并
在持续扩大开放的同时保证国内市场的健康发展。
关键词：新冠肺炎疫情；自由市场
中图分类号：F831         文献标识码：A
随着新冠肺炎疫情（COVID-19）的蔓延，自由市
场在全球化中的主导地位遭到了挑战。对此，需要重
新审视当前的全球经济秩序，并警惕民粹主义的抬头。
一、自我调节市场理论
一百多年前，经济思想领域分为两大阵营：一方
是以弗里德里希·哈耶克为代表的自由主义者，倡导
自我调节市场理论；另一方则认为市场从属于社会需
求，其首要代表人物包括德国的罗莎·卢森堡和卡
尔·李卜克内西，以及其他国家的一些马克思主义者
卡尔·波兰尼在其著作《大转型》中提出了他 ..."
105,Y2020,M08,#470,三井住友金融集团业务转型及经验启示 ,银行业经营管理,Banking Management,--,周晓波,"Banking Management 
三井住友金融集
启示
◎周晓波
摘要：本文对日本第二大金融集团三井住友的
综合经营实践进行了案例分析，以期为国内大型金
控集团业务发展转型提供经验启示。具体内容包括
三井住友的集团管控特点、事业部构成和发展战略、
重要改革举措、数字化转型规划等方面，在此基础
上对国内大型金控集团国际化布局、管控模式、数
字化策略以及成本控制等提出了针对性建议。
关键词：三井住友； 金控集团； 业务单元； CxO
体系 
中图分类号：F833.3          文献标识号：A
三井住友金融集团（Sumitomo Mitsui Financial 
Group，简称SMFG）是日本第二大金融机构，成立
于2002年12月，并于2010年11月在纽约证券交
易所挂牌上市。三井住友集团在银行、租赁、证券、
信用卡和消费金融等领域开展业务。其中，三井住
友银行（SMBC）是三井住友金融集团的旗舰公司，
拥有三井住友信托银行等核心子公司。在证券行业，
三井住友日兴证券在日本排名第三。从子公司盈利
比重看，2018年集团的主要利润增长是由三井住
友银行推动的，银行部门收入约占总营收的 80%（见 ..."
106,Y2020,M08,#470,新租赁准则实施对我国国有上市银行承租业务的影响研究                                                                                            ,银行业经营管理,Banking Management,--,陈伯芳,"银行承租业务的
◎陈伯芳
摘要：新租赁准则对于承租人的会计处理作出
重大修订，取消了融资租赁与经营租赁的分类，将
双重模型修改为单一模型。本文阐述了我国国有上
市银行承租业务的特点，阐明了探讨新租赁准则影
响的必要性，分析了新租赁准则对国有上市银行承
租业务核算、列报和税收的影响，同时，对国有上
市银行由实施修订前准则转为实施新租赁准则过程
中的难点问题进行了剖析，从规范租入资产管理
建立租赁信息系统、加强业务培训指导和完善内控
措施等方面提出了对策建议。国有上市银行应以新
租赁准则的实施为契机，重新审视并加强对本行租
入资产的管理。
关键词:新租赁准则；银行租赁；应用难点；应
对策略
中图分类号：F831          文献标识码：A
2008年金融危机爆发后，国际会计准则备受争
议的问题之一，就是租赁会计导致大量表外融资，导
致承租人的财务报表无法全面反映因租赁交易取得的
权利和承担的义务。2016年1月，国际会计准则理 ..."
107,Y2020,M08,#470,商业银行有效支持粤港澳大湾区发展研究—— 从经济特区到粤港澳大湾区  ,银行业经营管理,Banking Management,--,谢洁华 姜珊 李成青 刘瑨杰 徐聪,"Banking Management 
商业银行有效支
发展研究
—— 从经济特区到粤港
◎谢洁华  姜珊  李成青  刘瑨杰  徐聪
摘要：经济特区的设立是我国改革开放史上具
有里程碑意义的重大事件，重在通过经济试点总结
经验启示。随着我国经济快速发展，对经济联动以
及区域一体化发展的要求也相应提升，城市的单极
发展模式已无法适应当前的时代要求，区域的协同
发展、一体化发展将成为经济发展的新模式。粤港
澳大湾区规划是经济特区的“再升级”和“再扩大”，
将成为推动区域经济发展的重要引擎。同时，经济
发展离不开银行的支持。对此，本文在分析粤港澳
大湾区规划带来的广阔发展机遇的基础上，进一步
总结了当前广东省主要银行的支持情况和措施，并
在银行经营战略转型、探索粤港澳大湾区一体化经
营策略、主动进行业务转型、加强跨地区和跨机构
金融业务合作与创新等方面，提出了发展建议。
关键词：经济特区；粤港澳大湾区；银行
中图分类号：F833.3          文献标识码：A
经济特区充分发挥国家赋予的特区发展政策和 ..."
108,Y2020,M08,#470,美国《外国公司问责法案》的影响和应对                                                            ,宏观经济与市场,Macro Economy & Market,--,沈建光 朱太辉 张彧通,"美国《外国公司
和应对
◎沈建光   朱太辉   张彧通
摘要：2020年5月，美国参议院通过了《外国
公司问责法案》，随后，白宫也发布了《保护美国
投资者免受中国公司重大风险危害的备忘录》，引发
对中美金融脱钩的担忧。本文认为，《法案》的提出
并非偶然，背后叠加了短期、中期、长期三个因素
短期因素是瑞幸咖啡造假引发的针对中概股信息披
露的质疑，这也成为中美战略与经济对话、美国监
管执法的重点内容。中期因素是美国新冠肺炎疫情
蔓延叠加美国大选临近转移国内矛盾的需要，《法案
包含大量针对中国的政治性条款。长期因素是中美
金融领域脱钩。《法案》极有可能出台，并直接影响
中资企业在美上市与融资，特别是拥有国资背景的
中概股，将首当其冲。对此，主要应对之策有三方面
第一，要坚持推进跨境审计监管合作的谈判，尽最
大努力避免问题恶化。第二，应加强中国香港特别
行政区（本文简称中国香港）国际金融中心地位
同时，积极打造离岸金融中心，提升对中资公司海
外上市的承接能力。第三，深化国内资本市场改革
开放和建立中国版PCAOB机制，打造高质量的国际
化资本市场。
关键词：跨境审计监管；中概股；对华战略调整 ..."
109,Y2020,M08,#470,美国《外国公司问责法案》的影响和应对,宏观经济与市场,Macro Economy & Market,--,沈建光 朱太辉 张彧通,"美国《外国公司
和应对
◎沈建光   朱太辉   张彧通
摘要：2020年5月，美国参议院通过了《外国
公司问责法案》，随后，白宫也发布了《保护美国
投资者免受中国公司重大风险危害的备忘录》，引发
对中美金融脱钩的担忧。本文认为，《法案》的提出
并非偶然，背后叠加了短期、中期、长期三个因素
短期因素是瑞幸咖啡造假引发的针对中概股信息披
露的质疑，这也成为中美战略与经济对话、美国监
管执法的重点内容。中期因素是美国新冠肺炎疫情
蔓延叠加美国大选临近转移国内矛盾的需要，《法案
包含大量针对中国的政治性条款。长期因素是中美
金融领域脱钩。《法案》极有可能出台，并直接影响
中资企业在美上市与融资，特别是拥有国资背景的
中概股，将首当其冲。对此，主要应对之策有三方面
第一，要坚持推进跨境审计监管合作的谈判，尽最
大努力避免问题恶化。第二，应加强中国香港特别
行政区（本文简称中国香港）国际金融中心地位
同时，积极打造离岸金融中心，提升对中资公司海
外上市的承接能力。第三，深化国内资本市场改革
开放和建立中国版PCAOB机制，打造高质量的国际
化资本市场。
关键词：跨境审计监管；中概股；对华战略调整 ..."
110,Y2020,M08,#470,新兴市场和发展中国家债务演变路径研究  ,宏观经济与市场,Macro Economy & Market,--,曾繁荣,"Macro Economy & Market
新兴市场和发展
路径研究
◎曾繁荣
摘要：2010年以来，新兴市场和发展中国家
（EMDEs）经历了新一轮快速积累且规模空前的债
务浪潮。EMDEs在当前和未来一段时期的重中之重，
是避免本轮债务浪潮演变为影响广泛的金融危机。
本文通过总结EMDEs本轮债务浪潮与前三轮债务
浪潮的异同，分析出引致本轮债务浪潮演变路径的
诸多因素，并对前三轮债务浪潮演变的经验教训进
行归纳。同时，本文对各国监管部门提高债务管理
能力的政策努力进行了分析，并在此基础上提出了
相关的政策建议。
关键词：新兴市场和发展中国家；债务浪潮；影
响因素；经验教训
中图分类号：F831          文件标识码：A
1970年以来，无论是发达经济体，还是新兴市
场和发展中国家（简称EMDEs），债务积累是其反
复出现的特征。这些特征有时在大部分国家高度同
步，使债务积累逐渐演变成全球债务浪潮，最终升
级为影响广泛的全球债务、金融或经济危机，有时
则仅有少部分国家的债务积累快速增长，但其中约
有一半国家的债务浪潮最终仍会演变成危机（Koh  ..."
111,Y2020,M08,#470,新兴市场和发展中国家债务演变路径研究,宏观经济与市场,Macro Economy & Market,--,曾繁荣,"Macro Economy & Market
新兴市场和发展
路径研究
◎曾繁荣
摘要：2010年以来，新兴市场和发展中国家
（EMDEs）经历了新一轮快速积累且规模空前的债
务浪潮。EMDEs在当前和未来一段时期的重中之重，
是避免本轮债务浪潮演变为影响广泛的金融危机。
本文通过总结EMDEs本轮债务浪潮与前三轮债务
浪潮的异同，分析出引致本轮债务浪潮演变路径的
诸多因素，并对前三轮债务浪潮演变的经验教训进
行归纳。同时，本文对各国监管部门提高债务管理
能力的政策努力进行了分析，并在此基础上提出了
相关的政策建议。
关键词：新兴市场和发展中国家；债务浪潮；影
响因素；经验教训
中图分类号：F831          文件标识码：A
1970年以来，无论是发达经济体，还是新兴市
场和发展中国家（简称EMDEs），债务积累是其反
复出现的特征。这些特征有时在大部分国家高度同
步，使债务积累逐渐演变成全球债务浪潮，最终升
级为影响广泛的全球债务、金融或经济危机，有时
则仅有少部分国家的债务积累快速增长，但其中约
有一半国家的债务浪潮最终仍会演变成危机（Koh  ..."
112,Y2020,M08,#470,从注册制看“资本市场牵一发而动全身”,宏观经济与市场,Macro Economy & Market,--,谭华清,"Macro Economy & Market
从注册制看“资
而动全身”
◎谭华清
摘要：本文从注册制推出的背景出发，对我国
推出注册制的战略考量以及注册制对资本市场的
影响进行了研判。总体来看，我国推出注册制是站
在科技引领经济转型的基础上所做的战略部署。注
册制的推出，降低了上市门槛，企业上市更加容易，
从而鼓励更多企业家投资实体经济。这有利于提升
直接融资的比重，提高资本市场在社会资源配置中
的地位，也有利于提升经济的活力和韧性。同时，
放宽涨跌幅、增加交易类退市指标则可促进上市公
司优胜劣汰，促进资本市场的良性循环，有助于资
本市场的稳健运行。
关键字：注册制；资本市场；经济转型
中图分类号：F832            文献标识码：A
注册制对于中国股票市场投资者而言并非是
新鲜事。最早提出注册制改革的动议可以追溯到
2013年召开的十八届三中全会，会上通过的《中
共中央关于全面深化改革若干重大问题的决定》
中提到，“健全多层次资本市场体系，推进股票发
行注册制改革”。但后期因为经历了2015年股灾、 ..."
113,Y2020,M08,#470,从注册制看“资本市场牵一发而动全身”,宏观经济与市场,Macro Economy & Market,--,谭华清,"Macro Economy & Market
从注册制看“资
而动全身”
◎谭华清
摘要：本文从注册制推出的背景出发，对我国
推出注册制的战略考量以及注册制对资本市场的
影响进行了研判。总体来看，我国推出注册制是站
在科技引领经济转型的基础上所做的战略部署。注
册制的推出，降低了上市门槛，企业上市更加容易，
从而鼓励更多企业家投资实体经济。这有利于提升
直接融资的比重，提高资本市场在社会资源配置中
的地位，也有利于提升经济的活力和韧性。同时，
放宽涨跌幅、增加交易类退市指标则可促进上市公
司优胜劣汰，促进资本市场的良性循环，有助于资
本市场的稳健运行。
关键字：注册制；资本市场；经济转型
中图分类号：F832            文献标识码：A
注册制对于中国股票市场投资者而言并非是
新鲜事。最早提出注册制改革的动议可以追溯到
2013年召开的十八届三中全会，会上通过的《中
共中央关于全面深化改革若干重大问题的决定》
中提到，“健全多层次资本市场体系，推进股票发
行注册制改革”。但后期因为经历了2015年股灾、 ..."
114,Y2020,M08,#470,危机、纾困与复苏—— 试论新冠肺炎疫情下欧盟与法国的政策应对与纾困措施                                                                              ,宏观经济与市场,Macro Economy & Market,--,郭伟 刘扬,"危机、纾困与复
—— 试论新冠肺炎疫情
与纾困措施
◎郭伟   刘扬
摘要：面对新冠肺炎疫情的强烈冲击，欧盟及
其成员国均出台了大规模的纾困计划，尽全力减缓
疫情对经济、企业与社会的冲击。本文以欧盟及其
“三驾马车”之一的法国为例，对其抵御疫情的“三
道防护网”——欧盟层面的货币、财政及监管刺激
政策，法国层面的金融及经济纾困策略，社会福利
兜底措施进行了论述，希望借此对当前金融及经济
领域的抗疫实践以及后疫情时代的治理策略提供
有益的参考。
关键词：新冠肺炎疫情；欧盟及法国纾困策略
欧盟金融监管变化
中图分类号：F831         文献标识码：A
从新冠肺炎疫情到股市熔断，再到油价暴跌
因疫情导致的卫生危机，已蔓延至200多个国家
和地区，在全球演变成为一场经济危机。疫情正
在世界范围给人们带来高昂且不断增加的成本
据国际货币基金组织（IMF）2020年4月公布的
《2020年世界经济展望》预测，疫情中为保护生命 ..."
115,Y2020,M08,#470,危机、纾困与复苏—— 试论新冠肺炎疫情下欧盟与法国的政策应对与纾困措施,宏观经济与市场,Macro Economy & Market,--,郭伟 刘扬,"危机、纾困与复
—— 试论新冠肺炎疫情
与纾困措施
◎郭伟   刘扬
摘要：面对新冠肺炎疫情的强烈冲击，欧盟及
其成员国均出台了大规模的纾困计划，尽全力减缓
疫情对经济、企业与社会的冲击。本文以欧盟及其
“三驾马车”之一的法国为例，对其抵御疫情的“三
道防护网”——欧盟层面的货币、财政及监管刺激
政策，法国层面的金融及经济纾困策略，社会福利
兜底措施进行了论述，希望借此对当前金融及经济
领域的抗疫实践以及后疫情时代的治理策略提供
有益的参考。
关键词：新冠肺炎疫情；欧盟及法国纾困策略
欧盟金融监管变化
中图分类号：F831         文献标识码：A
从新冠肺炎疫情到股市熔断，再到油价暴跌
因疫情导致的卫生危机，已蔓延至200多个国家
和地区，在全球演变成为一场经济危机。疫情正
在世界范围给人们带来高昂且不断增加的成本
据国际货币基金组织（IMF）2020年4月公布的
《2020年世界经济展望》预测，疫情中为保护生命 ..."
116,Y2020,M08,#470,房地产中资美元债市场价格波动：回顾与展望 ,宏观经济与市场,Macro Economy & Market,--,颜琰,"房地产中资美元
回顾与展望
◎颜琰
摘要：2020年3月，中资美元债市场经历了近
五年来最大幅度的价格下跌。其中，房地产美元债
价格跌幅明显高于其他行业，引发投资者关注。本
文从此事件出发，回顾房地产中资美元债市场的发
展历程，解释房地产美元债价格波动高于其他行业
的缘由；在此基础上，展望房地产中资美元债市场
未来价格走势，以期为投资者制定交易策略提供理
论参考。
关键词：中资美元债；功夫债；价格波动 
中图分类号：F832              文献标识码：A
一、房地产中资美元债市场概述
中资美元债，也称为“功夫债”（Kungfu
Bond），是中资企业在境外发行的以美元计价的债
券。从类型上看，在美国发行的中资美元债从属于
外国债券，在境外（美国以外）发行的中资美元债
则从属于欧洲债券。80%的中资美元债为欧洲债券
发行地主要集中在亚洲地区，特别是中国香港特别
行政区。目前，中资美元债已经成为亚洲美元债和 ..."
117,Y2020,M08,#470,房地产中资美元债市场价格波动：回顾与展望,宏观经济与市场,Macro Economy & Market,--,颜琰,"房地产中资美元
回顾与展望
◎颜琰
摘要：2020年3月，中资美元债市场经历了近
五年来最大幅度的价格下跌。其中，房地产美元债
价格跌幅明显高于其他行业，引发投资者关注。本
文从此事件出发，回顾房地产中资美元债市场的发
展历程，解释房地产美元债价格波动高于其他行业
的缘由；在此基础上，展望房地产中资美元债市场
未来价格走势，以期为投资者制定交易策略提供理
论参考。
关键词：中资美元债；功夫债；价格波动 
中图分类号：F832              文献标识码：A
一、房地产中资美元债市场概述
中资美元债，也称为“功夫债”（Kungfu
Bond），是中资企业在境外发行的以美元计价的债
券。从类型上看，在美国发行的中资美元债从属于
外国债券，在境外（美国以外）发行的中资美元债
则从属于欧洲债券。80%的中资美元债为欧洲债券
发行地主要集中在亚洲地区，特别是中国香港特别
行政区。目前，中资美元债已经成为亚洲美元债和 ..."
118,Y2020,M08,#470,基础设施公募REITs对基建投融资的影响及现实约束                                                                                     ,金融前沿,Financial Foresight,--,翟颖慧,"Financial Foresight 
基础设施公募 REI
投融资的影响及
◎翟颖慧
摘要：由于传统的基建融资工具在发展、扩张
中面临瓶颈制约。例如，非标在监管趋严背景下规
模收缩、PPP需要在清理整顿后规范发展、专项债
的不断扩容需兼顾政府债务空间等，因此，基础设
施公募REITs的推出，有望成为基础设施融资的新
模式。公募REITs不仅可以盘活存量资产、补充
基建资金来源，也有助于拓宽融资渠道、降低地方
政府和相关企业的杠杆率。同时，鉴于基础设施公
募REITs具有现金流收益稳定、投资回收期限较
长以及投资风险相对较易识别等特点，有望成为长
期资金在资产配置中的有效补充。长期来看，我国
REITs市场具有广阔的发展空间；但短期内，仍面
临管理人的选择、税收支持有待明确以及交易流动
性可能不足等现实约束。
关键词：公募REITs；基建融资；资产配置
中图分类号：F832          文献标识码：A
一、传统基建融资工具面临瓶颈制约
近年来，在我国经济快速发展的过程中，基础
设施建设投资一直是稳投资、稳增长的重要手段。
2008年以来，基建投资的融资方式经过多次创新， ..."
119,Y2020,M08,#470,基础设施公募REITs对基建投融资的影响及现实约束,金融前沿,Financial Foresight,--,翟颖慧,"Financial Foresight 
基础设施公募 REI
投融资的影响及
◎翟颖慧
摘要：由于传统的基建融资工具在发展、扩张
中面临瓶颈制约。例如，非标在监管趋严背景下规
模收缩、PPP需要在清理整顿后规范发展、专项债
的不断扩容需兼顾政府债务空间等，因此，基础设
施公募REITs的推出，有望成为基础设施融资的新
模式。公募REITs不仅可以盘活存量资产、补充
基建资金来源，也有助于拓宽融资渠道、降低地方
政府和相关企业的杠杆率。同时，鉴于基础设施公
募REITs具有现金流收益稳定、投资回收期限较
长以及投资风险相对较易识别等特点，有望成为长
期资金在资产配置中的有效补充。长期来看，我国
REITs市场具有广阔的发展空间；但短期内，仍面
临管理人的选择、税收支持有待明确以及交易流动
性可能不足等现实约束。
关键词：公募REITs；基建融资；资产配置
中图分类号：F832          文献标识码：A
一、传统基建融资工具面临瓶颈制约
近年来，在我国经济快速发展的过程中，基础
设施建设投资一直是稳投资、稳增长的重要手段。
2008年以来，基建投资的融资方式经过多次创新， ..."
120,Y2019,M04,#454,外需非常路,时评,Review,--,伍戈 黄俊筑 李雪 王彩妮,"◎伍戈  黄俊筑  李雪  王彩妮
摘要：外需是我国开放型经济的重要动能，其
强弱大小会显著影响国内逆周期调节政策的力度
虽然全球经济同步下行已成为当前一致性预期，但
人民币汇率走势和中美贸易摩擦前景仍具有不确定
性。这些对于研判外需具有重要影响，也直接关乎
2019年中国经济动能的演绎。在现行汇率形成机制
下，人民币汇率在很大程度上受美元走势的影响
历史表明，美、欧之间经济景气程度差异能更好地
前瞻性预判美元走势。据此，未来半年美元或由强
转弱，人民币贬值压力可能减小。当前，美国经济
及资本市场的不确定性增大，短期内美方维持关税
现状、未来再渐进加征的可能性正在加大，但完全
取消加征仍是小概率事件。中长期看，中美诸多领
域的博弈在所难免，贸易摩擦下产业外移对我国的
影响值得持续关注。展望2019年，随着全球增长
放缓及人民币贬值压力的释放，再叠加贸易摩擦冲
击，预计我国出口增速将由2018年10.9%回落至4%
左右；进口方面，随着内需走弱，特别是油价徘徊
趋稳，进口或由2018年17%降至4.5%左右。进出
口双弱格局下，国内逆周期对冲政策加大发力正在
路上。
关键词：出口；人民币汇率；中美贸易战 ..."
121,Y2019,M04,#454,市场结构变化与美联储的货币政策,银行家论坛,Banker's Forum,--,葛奇,"Banker's Forum 
市场结构变化与
◎葛奇
摘要：市场结构的变化已经影响到美国国内的整
体就业和一般物价水平，相应地也影响到美联储双重
政策目标的执行效果以及未来货币政策的制定。但在
自然失业率和菲利普斯曲线斜率不确定的条件下，如
何准确地衡量和比较不同规则（主要包括通胀规避规
则、失业规避规则和平衡法规则）下各种政策利率水
平的相关成本和执行效果，对美联储货币政策决策无
疑构成了很大的挑战。美联储所做的随机模拟结果显
示，没有任何单一的政策规则可以普遍适用于各种可
能的情景假设。这种不确定性的存在，决定了美联储
在考虑各种政策策略时需加强风险管理。在当前的形
势下，美联储主席鲍威尔认为，尤其需要避免两种风
险：一是因美联储加息速度过快而缩短了经济的扩张
期；二是因美联储加息速度过慢而导致经济过热下的
不稳定风险。在他看来，目前应对这两种风险最为妥
当的方法，就是采取渐进式加息的政策路径。
关键词：市场结构；美联储；货币政策
市场结构变化是当今世界的一个普遍现象。近几
十年来，人工智能、大数据、金融科技等领域的变革
以及国际贸易壁垒的减少，不仅加快了商品和劳务市
场的全球一体化趋势，也加剧了上述市场的国际竞争，
并对要素投入市场，尤其是劳工市场的竞争以及劳工
工资的确定，产生了重要影响。国际经济相互依存度
的增加也改变了通胀的表现形式，影响到各国央行货
币政策的制定过程和执行效果。2018年，在美国怀俄 ..."
122,Y2019,M04,#454,论在华外资银行在债券市场对外开放中的作用和功能定位  ,银行业经营管理,Banking Management,--,王晓,"对外开放中的作
◎王晓
摘要：经过多年发展，我国债券市场的开放水
平持续提升，但距离高质量、有效率的开放仍存在
较大差距。针对债市开放中现存的不足之处，本文
总结了在华外资银行在母行海外网络和专业优势的
支持下，在债市开放建设中发挥的重要功能。考虑
到在华外资银行债券资质尚不充分等问题，本文提
出了适当增加获得债券市场主要业务资格的外资银
行比例,以及对部分业务资格进行定向创新试点等
政策建议，以增强外资银行的竞争力，促进外资银
行在我国债券市场开放中发挥更大的作用。
关键词：债券市场；境外投资者；对外开放；外
资银行
引言
随着全面开放新格局的推动形成，我国债券市
场持续深化改革发展，不断加快对外开放。经过多
年的培育发展，我国债券市场已跻身全球第三大债
券市场，并在投资者分层、市场基础设施、政策制
度等方面逐步趋于完善,与国际市场接轨程度不断
提高，市场的开放水平也持续得到提升。
学者们从不同视角论证了债券市场开放的发展
进程、重大作用和演进方向，包括：债券市场开放
的结构现状和基本框架（巴曙松等，2017）；债市 ..."
