#,年,月,期,标题,栏目,栏目e,行业,作者,内容
22,Y2022,M03,#489,元宇宙：从架构到落地,“元宇宙”专栏,Special Column,--,方光照 田鹏 ,"元宇宙 ：从架构到
◎方光照  田鹏
摘要：2021年Roblox公司的上市与Facebook
集团更名为Meta引起了市场对元宇宙的热烈关注。
本文对元宇宙的概念与发展进行较为全面的梳理，
意图解决什么是元宇宙、发展元宇宙的意义以及如
何发展元宇宙等问题。本文阐述了对元宇宙定义的
理解，回顾了元宇宙概念的发展历程，讨论了元宇
宙发展的社会经济意义以及可能应用的场景，并从
国内外头部厂商布局情况和产业链构成分析了元宇
宙发展的路径与所需的技术支撑。
关键词：元宇宙；虚拟世界；VR/AR；区块链
中图分类号：F83            文献标识码：A
一、	什么是元宇宙
元宇宙的概念最早由科幻作家尼尔·斯蒂芬森
（Neal Stephenson）于1992年在其著作《雪崩》中提出。
在小说中，元宇宙（Metaverse）是一个脱胎于现实
世界又与现实世界平行、相互影响且始终在线的虚
拟世界。人们在这个虚拟世界中可以做除吃饭、睡
觉外的任何事。如果把游戏看作是最早具备元宇宙
元素的产品形态，元宇宙概念的发展历程可以追溯
如下：1992年，尼尔·斯蒂芬森（Neal Stephenson）
在科幻小说《雪崩》中创造了元宇宙（Metaverse） ..."
23,Y2022,M03,#489,元宇宙产业发展与银行金融创新研究 ,“元宇宙”专栏,Special Column,--,曾圣钧 周涛,"◎曾圣钧   周涛
摘要：近年来，随着相关技术的发展，元宇宙引
起了全世界的极大关注。预想的元宇宙应该是一个
虚拟现实的社会，具有更直接的身体互动，而种族
性别甚至身体残疾的概念将被削弱，这将对社会发
展与进步非常有益。然而，元宇宙的发展仍处于初
级阶段，有很大的改进潜力，各行各业均在提前做
准备，并吸引了众多投资者入局。国内学术界讨论
元宇宙还不多，特别是在银行金融服务领域缺乏科
学研究指导其发展。本研究拟从元宇宙发展的意义
技术条件出发，探讨商业银行布局元宇宙，推动金
融创新的策略和建议。
关键词：元宇宙；银行；区块链；华为河图
中图分类号：F832            文献标识码：A
引言
早在1981年，美国计算机教授弗洛文奇在科
幻小说《真名实姓》中，就构思了一个可以通过
脑机接口进入并拥有感官体验的虚拟世界。而元宇
宙“Metaverse”一词正式起源于1992年尼尔·斯蒂
芬森（Neal Stephenson）的科幻小说《雪崩》（Snow 
Crash）。Metaverse是“meta”（意思超越）和“Universe
词干“Verse”的组合，表示下一代互联网，其中 ..."
24,Y2022,M03,#489,警惕美联储货币政策转向触发明斯基时刻 ,国际金融,International Finance,--,张伟,"时刻
◎张伟
摘要：2020年以来，新冠肺炎疫情（简称疫情
的外生冲击掩盖了美国经济衰退的深层次原因。面
对冲击，美联储采取了极度扩张的货币政策，并没
有使实体经济企稳复苏，反而带来了通胀隐忧，以
及高泡沫、高债务、财富再分配和道德风险等一系
列“后遗症”。为解释高货币投放有时并不立即引发
通货膨胀这个与传统货币数量论相悖的经济现象
本文基于费雪方程式，引入资产交易的货币需求
创建了扩展的交易方程式。随着疫情消散和经济企
稳，隐性通胀逐步显性化。为防止通胀问题变得积
重难返，以2021年12月初为分水岭，美联储货币
政策开始由“松”（鸽派）转“紧”（鹰派）。美联储
政策转向将可能刺破泡沫，触发明斯基时刻，引发
新一轮金融危机。本文基于“坎蒂隆效应”的逻辑
和美元作为国际货币的现实，首次提出“国际间坎
蒂隆效应”概念，以解释美联储实施扩张货币政策
将给全球（包括中国）产生通货再膨胀和国际间产
生财富再分配等“外溢效应”。为应对美联储货币政
策转向的外溢效应，中国应坚持独立的货币政策
作者简介：张伟，清华大学五道口金融学院党委委员、副研究员，清
                  科技研究中心副主任，《清华金融评论》副主编兼编辑部主
                  亦有贡献。
① 货币主义领军人物米尔顿·弗里德曼（Milton Friedman）在其与安 ..."
25,Y2022,M03,#489,美联储货币政策和经济不平等的关系 ,国际金融,International Finance,--,陆晓明,"◎陆晓明
摘要：2008年金融危机之后，美联储的宽松货
币政策在分配领域中的作用越来越受到各方面关注
这集中体现在该政策在经济不平等—收入和财富
差距扩大中的作用方面。而在2020年疫情暴发后
由于美联储采取了更宽松的货币政策，这一问题也
愈加凸显，并再次成为人们关注的焦点。本文分析
美联储宽松货币政策在扩大美国经济不平等中的作
用及路径，研究美联储货币政策在维持经济平等中
应有的作用，据此评估宽松货币政策对整体经济的
利弊得失，探讨美国未来在执行货币政策与防止经
济差距进一步扩大之间维持平衡的主要措施。
关键词：美联储货币政策； 收入不平等； 财富不
平等
中图分类号：F831           文献标识码：A
一、美联储宽松货币政策是否扩大了
经济不平等
（一）美国的经济不平等主要是财富和收
入的差距确实存在，并且在过去三十年中呈
扩大趋势
统计表明，2021年年初，美国家庭的整体财富
（净资产）从2010年的60.5万亿美元增加到129.5 ..."
26,Y2022,M03,#489,宽松货币政策实施的原因、成本与启示 ,国际金融,International Finance,--,张启迪,"启示
◎张启迪
摘要：全球金融危机和新冠肺炎疫情暴发后，发
达经济体实施大幅宽松的货币政策，主要有三个原
因，一是快速修复金融市场功能，二是实际利率水
平已经跌至负值，三是长期经济增长前景黯淡。从
效果来看，虽然促进了经济复苏，但也带来了较高
的政策成本，包括资产价格泡沫、宏观杠杆率上升
贫富差距拉大等一系列问题。与发达经济体不同
中国实施超宽松货币政策的政策成本远高于发达经
济体。政策建议方面，一是中国实行宽松货币政策
时需更加谨慎，二是应更多使用结构性政策而非总
量型政策，三是深入推进结构性改革，以进一步提
高货币政策传导效率。
关键词：货币政策；宏观杠杆率；金融风险
中图分类号：F832            文献标识码：A
新冠肺炎疫情暴发以来，发达经济体普遍实施
大幅宽松的货币政策应对冲击。作为全球最主要的央
行，美联储资产负债表规模由疫情前约3万亿美元扩
张至当前约9万亿美元。而中国货币政策总体一直维
持稳健，并没有搞“大水漫灌”。无论是在2020年疫
情最严重经济下行压力最大的时期还是在2021年第
四季度经济复苏明显转弱的情况下，货币政策宽松的 ..."
27,Y2022,M03,#489,从“十四五”规划看我国科技创新发展及如何提供金融支持                                                                                             ,宏观经济,Macro Economy,--,赵廷辰,"及如何提供金融支
◎赵廷辰
摘要：《中共中央关于制定国民经济和社会发展
第十四个五年规划和二零三五远景目标的建议》提出
了长远经济发展目标，并提出要“把科技自立自强作
为国家发展的战略支撑”。我国在人口老龄化加速
资本投资回报率下降、获取国外先进技术遭遇瓶颈的
情况下，需依靠科技自立自强助推长期经济增长。在
基础研究方面，政府应加大支持力度，逐渐扭转“三
低三高一弱”的科研局面。在应用试验研究方面，应
改变量重于质的不当评价体系，让市场机制去评价应
用试验研究的价值。展望未来，我国金融业支持科技
创新发展将大有可为。
关键词：科技自立自强；基础研究；应用试验研究
金融支持
中图分类号：F832            文献标识码：A
我国已迈入高质量发展阶段。《中国共产党第十
九届中央委员会第五次全体会议公报》（简称《公报》
和《中共中央关于制定国民经济和社会发展第十四个
五年规划和二零三五远景目标的建议》（简称《建议》
提出，要“坚持创新在我国现代化建设全局中的核心
地位，把科技自立自强作为国家发展的战略支撑”
结合《公报》和《建议》有关要求，本文探讨了在高
质量发展阶段我国加快科技创新的重要意义，以及应
如何实现科技自立自强，并分析了金融业应如何支持 ..."
28,Y2022,M03,#489,数字金融赋能民族地区产业融合的逻辑与路径—— 以海南省儋州市为例,宏观经济,Macro Economy,--,刘璐琳 张佳 苏逸文 林露伟 成润梦,"逻辑与路径
—— 以海南省儋州市为
◎刘璐琳 张佳 苏逸文 林露伟 成润梦
摘要：在实现共同富裕的进程中，促进民族地区
经济发展是基础，产业融合是推动民族地区实现高质
量产业发展的重要举措。在新时代，如何将数字金融
的浪潮转换为促进民族地区产业融合的强大动力，是
学术研究和实践应用中都亟待厘清的重要问题。本文
通过理论分析与案例研究，指出数字金融通过拓宽资
金来源、提升创新水平与缓解信息不对称赋能民族地
区产业融合，并从宏观、中观、微观三个层面提出数
字金融促进民族地区产业融合发展的路径，为加快民
族地区产业融合发展，实现共同富裕提供新思路。
关键词：共同富裕；数字经济；民族地区；产业融合
中图分类号：F832            文献标识码：A
引言
共同富裕是社会主义的本质要求，是中国式现代
化的重要特征，也是中华各民族的共同奋斗目标。共
同富裕是实现全民族共同富裕，在共同富裕的道路上
一个都不能少。在扎实推进共同富裕的进程中，民族 ..."
29,Y2022,M03,#489,深化产教融合实践探索 金融助力实体经济发展——以国际产教融合实施路径为借鉴 ,宏观经济,Macro Economy,--,张健 马遇乐,"Macro Economy 
深化产教融合实
实体经济发展
—— 以国际产教融合实施
◎张健  马遇乐
摘要：产教融合是产业企业、教育机构、政府
部门、社会组织等多元主体参与协同育人、共建共
享资源的过程。我国借鉴其他国家经验，逐步构建
多元主体办学、多路径培养、多渠道融资的产教统
筹融合发展格局。但目前体制机制、参与主体和实
践形式仍存在不足，需各级政府加强统筹规划、财
政引导和供需对接服务，激发企业参与活力。金融
企业参与产教融合，既是自身发展需要，也具有良
好社会环境，应发挥自身优势，抓住市场机遇，强
化场景建设，促进业务发展。
关键词：产教融合；协同育人；金融企业
中图分类号：G712           文献标识码：A
深化产教融合和校企合作是党的十九大对新时
代我国教育培训和产业发展提出的新要求。产教融
合对推进人才教育体制改革和制造业创新升级具有
重要的先导性、基础性作用。研究产教融合的概念
内涵、历史经验、现存问题和解决方案，对促进教
育链、人才链与产业链、创新链的有机衔接，实现
实体经济、科技创新、现代金融与人力资源的协同
发展，具有重要意义。 ..."
30,Y2022,M03,#489,新形势下中概股的破局之路,金融市场,Financial Market,--, 苏莉 付志能,not found
31,Y2022,M03,#489,新形势下中概股的破局之路,金融市场,Financial Market,--, 苏莉 付志能,not found
32,Y2022,M03,#489,ESG与银行风险管理 ,银行家论坛,Banker's Forum,--,卢娜,"Banker's Forum 
ESG 与银行风险管
◎卢娜
摘要：20世纪70年代 ，欧美市场开始关注企
业环境绩效和社会责任。 2006 年，联合国明确倡
导责任投资原则（UNPRI）；同年，高盛发布 ESG 
研究报告。此后，国际组织和投资机构将 ESG概念
不断深化。本文试图从银行风险管理的实务角度阐
述ESG与银行风险管理之间的关系，并探讨如何将
其融入银行风险管理体系。
关键词：ESG；风险管理；碳金融
中图分类号：F83            文献标识码：A
一、	ESG 中相关的风险概念辨析
随着社会各界对ESG领域的关注日益加深，在
研究和实务工作中也出现很多新的概念，与风险相
关的包括环境与社会风险、环境与气候风险、ESG
风险、生物多样性风险等。银行风险管理体系的建
设强调全面覆盖，因此，需要对新型风险或者新的
概念进行研究和辨析，采取适当的方式将其纳入全
面风险管理体系进行专业化管理。
（一）ESG风险
ESG是环境（Environmental）、社会（Social）和
治理（Governance）的英文缩写，反映了企业在环境、
社会责任以及公司治理三个维度上的责任，是国际
社会衡量企业可持续发展能力的价值评估理念和重 ..."
33,Y2022,M03,#489,ESG与银行风险管理,银行家论坛,Banker's Forum,--,卢娜,"Banker's Forum 
ESG 与银行风险管
◎卢娜
摘要：20世纪70年代 ，欧美市场开始关注企
业环境绩效和社会责任。 2006 年，联合国明确倡
导责任投资原则（UNPRI）；同年，高盛发布 ESG 
研究报告。此后，国际组织和投资机构将 ESG概念
不断深化。本文试图从银行风险管理的实务角度阐
述ESG与银行风险管理之间的关系，并探讨如何将
其融入银行风险管理体系。
关键词：ESG；风险管理；碳金融
中图分类号：F83            文献标识码：A
一、	ESG 中相关的风险概念辨析
随着社会各界对ESG领域的关注日益加深，在
研究和实务工作中也出现很多新的概念，与风险相
关的包括环境与社会风险、环境与气候风险、ESG
风险、生物多样性风险等。银行风险管理体系的建
设强调全面覆盖，因此，需要对新型风险或者新的
概念进行研究和辨析，采取适当的方式将其纳入全
面风险管理体系进行专业化管理。
（一）ESG风险
ESG是环境（Environmental）、社会（Social）和
治理（Governance）的英文缩写，反映了企业在环境、
社会责任以及公司治理三个维度上的责任，是国际
社会衡量企业可持续发展能力的价值评估理念和重 ..."
34,Y2022,M03,#489,商业银行智能风控体系建设的挑战及对策 ,银行业经营管理,Banking Management,--,刘吕科,"Banking Management 
商业银行智能风控
对策
◎刘吕科
摘要：商业银行风险管理数字化、智能化是宏观
上适应数字化社会发展的客观要求，也是微观上应
对未来复杂经济金融风险的主观需要。本文分析了
银行风险管理智能化趋势，给出了良好实践银行成
功的关键要素，并分析了商业银行智能风控实施面
临的主要挑战及问题，以期为商业银行更好地推进
智能风控体系建设提供借鉴。
关键词：智能风控；数字化风控；风险管理
中图分类号：F832            文献标识码：A
引言
商业银行是经营风险的企业。风险管理能力不
仅是商业银行稳健发展的保障，在很大程度上也划
定了银行业务发展的边界。有些银行在各类创新业
务经营中“游刃有余”，而有些银行只能像“当铺”
一样经营，其差异本质上都是由银行风险管理水平
和能力决定的。
展望未来十年，商业银行面临的经营环境将更
趋复杂。因此，对商业银行而言，可能是“最差的
十年”，但也可能仍然是“较好的十年”。而划分“最
差”“较好”边界的，同样是商业银行的风险管理能
力。如果说过去十年商业银行风险管理的关键词是 ..."
35,Y2022,M03,#489,商业银行智能风控体系建设的挑战及对策,银行业经营管理,Banking Management,--,刘吕科,"Banking Management 
商业银行智能风控
对策
◎刘吕科
摘要：商业银行风险管理数字化、智能化是宏观
上适应数字化社会发展的客观要求，也是微观上应
对未来复杂经济金融风险的主观需要。本文分析了
银行风险管理智能化趋势，给出了良好实践银行成
功的关键要素，并分析了商业银行智能风控实施面
临的主要挑战及问题，以期为商业银行更好地推进
智能风控体系建设提供借鉴。
关键词：智能风控；数字化风控；风险管理
中图分类号：F832            文献标识码：A
引言
商业银行是经营风险的企业。风险管理能力不
仅是商业银行稳健发展的保障，在很大程度上也划
定了银行业务发展的边界。有些银行在各类创新业
务经营中“游刃有余”，而有些银行只能像“当铺”
一样经营，其差异本质上都是由银行风险管理水平
和能力决定的。
展望未来十年，商业银行面临的经营环境将更
趋复杂。因此，对商业银行而言，可能是“最差的
十年”，但也可能仍然是“较好的十年”。而划分“最
差”“较好”边界的，同样是商业银行的风险管理能
力。如果说过去十年商业银行风险管理的关键词是 ..."
36,Y2022,M03,#489,论行员修养与银行经营视察四川分支行演讲辑录 ——《  张公权金融言论集》（马学斌编著）摘登（15） ,张公权金融思想专栏,Special Column,--,张公权,"[按] 本文原载《中行生活》第29期（《川行专
该文为张公权考察四川期间的六次演讲辑录。
张公权率队于1934年4月28日至6月11日
考察四川社会经济状况。随行者有总账室主任刘攻
秘书董孝纯，以及上海分行副经理史久鳌等。还
路途15天外，在川计31天。
其间，张籍此机会向分支行、办事处管理人
行员的修养和银行的经营两大方面。因系向下属的
针对性强，似同僚间开诚布公地交流，对提高行
指导作用。六次演讲，也较集中地反应出作为银
理念和经营哲学。尤其是《如何使我行成为“最进
行历史，切分利弊得失，指出奋斗方向。字里行
重要的启迪；他向读者描绘了一位志存高远者，孜
仍是今天金融界奋斗目标重要的参照系。
论行员修养与银
视察四川分支行演讲辑录
——《  张公权金融言论集
◎张公权
一个青年行员应具之性格
在万[州办事]处演讲
一个青年走进了本行，应努力：一、保持旧道德；二、
培养新精神；三、用旧的识见贯彻新的精神。以“旧” ..."
37,Y2022,M03,#489,论行员修养与银行经营视察四川分支行演讲辑录 ——《  张公权金融言论集》（马学斌编著）摘登（15）,张公权金融思想专栏,Special Column,--,张公权,"[按] 本文原载《中行生活》第29期（《川行专
该文为张公权考察四川期间的六次演讲辑录。
张公权率队于1934年4月28日至6月11日
考察四川社会经济状况。随行者有总账室主任刘攻
秘书董孝纯，以及上海分行副经理史久鳌等。还
路途15天外，在川计31天。
其间，张籍此机会向分支行、办事处管理人
行员的修养和银行的经营两大方面。因系向下属的
针对性强，似同僚间开诚布公地交流，对提高行
指导作用。六次演讲，也较集中地反应出作为银
理念和经营哲学。尤其是《如何使我行成为“最进
行历史，切分利弊得失，指出奋斗方向。字里行
重要的启迪；他向读者描绘了一位志存高远者，孜
仍是今天金融界奋斗目标重要的参照系。
论行员修养与银
视察四川分支行演讲辑录
——《  张公权金融言论集
◎张公权
一个青年行员应具之性格
在万[州办事]处演讲
一个青年走进了本行，应努力：一、保持旧道德；二、
培养新精神；三、用旧的识见贯彻新的精神。以“旧” ..."
