#,年,月,期,标题,栏目,栏目e,行业,作者,内容
70,Y2017,M06,#432,投贷联动运行模式的国际实践及对我国的启示,金融前沿,Financial Foresight,--,叶文辉,"摘要：在“众创”背景下，开展投贷联动对于
拓展中小科技创新企业融资渠道，助推银行业综合
化经营转型具有重要意义。国际上，美英两国经过
长期实践，为投贷联动最具代表性的国家。2016年
4月，我国也正式启动投贷联动试点工作。本文在
分析投贷联动模式和借鉴发达国家投贷联动实践经
验的基础上，结合当前国内投贷联动试点过程中存
在的障碍，提出应通过完善顶层政策设计、引导银
行建立与投贷联动相适应的运营和风控机制、加强
与外部投资机构的合作，以及成立中小科创企业股
权投资基金等措施，促进投贷联动业务的健康发展
关键词：投贷联动；股权投资；科创企业
一、投贷联动试点的产生背景和基本
情况
近年来，随着“大众创业、万众创新”浪潮的
涌起，国内科技型、创新型企业迅猛发展。据统计
截至2015年末，国内高新技术企业数量已达51476
家，全年实现工业总产值96546亿元，占规模以上
工业企业比重为11.8%。其中，中小科技创新型企 ..."
71,Y2017,M07,#433,全球化之殇：涵义、诊断与矫正,时评,Review,--,张宇燕,"经济全球化指的是在充分利用市场机制以实现
自身利益最大化过程中提升各经济体相互依存度的
长期趋势。从不同的角度观察经济全球化，可以有
不同的理解。当今，世界出现的各种反全球化或逆
全球化的声浪与潮流，其大背景在于当今全球化的
进程并未按照多数人当初期待的方向演进。解决全
球化引发的市场失灵问题，关键点在于拿捏好发挥
国际市场良性功能与治理有效性之间的关系。
　　
从不同的角度观察经济全球化会有不
同的理解
　　
人们20年前热议的全球化，今天再度被热议
但口吻已迥然不同。从不同的角度观察经济全球化
我们可以有不同的理解。从人类发展史角度看，全
球化是不同国家、不同地区相互依存度不断加深的
历史过程；从资源配置方式角度看，全球化是一个
政府放松对跨境贸易与投资管制的过程；从经济学
理念角度看，全球化是人类通过促进要素流动来最 ..."
72,Y2017,M07,#433,新工具完善央行货币政策框架,银行家论坛,Banker's Forum,--,夏乐  董晋越,"在2017年3月份的两会上，李克强总理指出
我国目前仍具有多种可选择的政策工具来抵消潜
在的负面经济或金融冲击，能够保证完成2017年
6.5％左右的经济增长目标。尽管外部经济环境仍
存在巨大的不确定性，国内金融体系的脆弱性与
前些年相比也有所发展，但李克强总理关于目前
拥有更多政策工具的论断是正确的，特别是在货
币政策方面。
在过去几年中，中国人民银行已经初步建立
了一套“利率走廊”系统作为其新的货币政策执
行框架。这一“利率走廊”系统及其配套政策工
具开始替代传统的货币政策工具（如银行存贷款
基准利率和贷存比等），步入了货币政策的舞台中
心。
一、“利率走廊”初具雏形
在2016年第三、四季度的《货币政策执行报
告》中，中国人民银行披露了“利率走廊”的上 ..."
73,Y2017,M07,#433,构建商业银行移动金融生态圈实证研究——以信用卡业务为例,银行业经营管理,Banking Management,--,高尚,"摘要：以社交金融、移动支付为主要特色的移
动互联网经济，与当前最具创新和活力的信用卡产
业的融合与联动发展问题，是经济理论界的研究热
点之一。随着移动金融进入以移动金融生态圈为主
导的3.0时代，移动金融生态圈也成为当前国内经
济新常态发展模式下的新风口。本文分析、比较了
传统掌上银行APP与第三方信用卡管理类APP的
优劣势，在此基础上对打造以信用卡独立APP产
品为核心的信用卡移动金融生态圈进行深入研究，
提出了具体的建设方案与核心产品功能，并对产品
的创新性进行了阐述。
关键词：信用卡；金融生态圈；社交与移动金融；
移动支付创新；消费金融
引言
以云计算、大数据、移动互联网、社交网络
为代表的新一轮创新技术变革，不仅在深刻影响
着许多传统行业，也在逐渐改变金融业的发展态 ..."
74,Y2017,M07,#433,浅述“政府背景类业务”风险点及银行受理审批要求,银行业经营管理,Banking Management,--,吴亚男,"摘要：2014年以来，国家一方面推行新预算法，明
确划清政府与企业债务界限，强调政府不得通过企事业
单位举借债务；另一方面，又大力推广PPP和政府购买
服务，以减少地方性债务支出，加速地方政府转型，推
动公共基础设施建设。这两种模式自推出后，越来越受
到各级政府的重视，银行相关授信业务也呈快速发展趋
势。但在实际操作中，由于尚处于国家政策调整期，地
方政府机构和银行对政策文件的理解不统一，极易造成
合规及信用风险隐患。对此，本文通过解读国家相关规
定，梳理政府背景业务的合规底线，进一步明晰了涉及
授信审批的相关要求规范，并提出建议。
关键词：PPP政府购买服务；银行合规风险；审批
一、政策变革背景
近年来，我国政府背景项目融资相关政策发生了巨
大变化。以2014年为界线，在此之前，各地政府主要
利用所属融资平台公司进行投融资，城市基础设施等公
共产品和服务的投融资职能主要由各地的融资平台公司
承担，项目的运作方式以政府委托代建及BT模式为主
这种模式下，地方政府信用与融资平台公司企业信用不 ..."
75,Y2017,M07,#433,金融资产管理公司支持“一带一路”建设探析,银行业经营管理,Banking Management,--,王元凯,"我国四大金融资产管理公司②（下称“AMC”）作
为中央金融企业和开展多元化业务的金融集团，具有支
持“一带一路”建设的综合实力及内在动力。凭借集团
资源和集团优势，四家金融资产管理公司均在开展境内
“一带一路”业务，也有能力开拓境外“一带一路”项目
为更好地发挥金融资产管理公司在“一带一路”建设中
的支持作用，尤其是推进境外“一带一路”建设的发展
和落实，需要从考核、业务、资金、安全等多个层面加
强对金融资产管理公司的政策保障。
一、AMC支持“一带一路”建设的内
在动力
（一）作为中央企业，AMC有责任支持“一
带一路”建设
我国四家金融资产管理公司都属于财政部控股
截至2016年末，财政部持有华融公司股本63%以上
信达公司股本67%以上，控股长城公司股本97%、东
方资产股本98%。同时，与我国三大政策性银行、五
作者简介：王元凯，博士后，中国长城资产管理股份有限公司。 ..."
76,Y2017,M07,#433,缩表隐忧笼罩全球经济—— 中国银行全球经济金融展望报告（2017年第三季度）,宏观经济与市场,Macro Economy & Market,--,中国银行国际金融研究所全球经济金融研究课题组,"2017年上半年，全球经济继续温和增长，美联储
两次升息，法国和英国大选扰动欧洲市场，日本经济持
续复苏；全球金融稳定性增强，但局部金融市场波动依
然较大，尤以美元汇率下行较为突出。在通胀回升和失
业率稳步下降的背景下，全球性货币政策宽松正在面临
新的转折，美联储缩减资产负债表（缩表）计划提上日
程。疲弱复苏已长达八年之久的世界经济是否会因政策
失调而再陷困境？金融市场是否会因此再生波澜？
一、全球经济在温和复苏中面临新的不
确定性
（一）全球经济持续温和复苏
实体经济高频统计与景气调查指标显示，自2016
年下半年至今，全球经济逐步摆脱持续六年低速运行
的态势。从工业生产、贸易和投资等“硬指标”看
截至一季度的数据均显示全球经济加快增长，创下近
六年新高（见图1）；从采购经理人指数、消费者信心
指数和OECD领先指数等“软指标”看，二季度全球
经济继续维持较好的增势（见图2）。初步估算，2017 ..."
77,Y2017,M07,#433,在金融“去杠杆”和经济平稳增长之间取得平衡——中国银行中国经济金融展望报告（2017年第三季度）,宏观经济与市场,Macro Economy & Market,--,中国银行国际金融研究所中国经济金融研究课题组 ,"受外部环境改善、大宗商品价格上涨和房地产
市场升温等因素的影响，2017年上半年中国经济
景气上升，增长新动能和传统动能均有所增强，供
给和需求、投资和消费、工业生产和企业效益之间
形成了良好的互动和循环。初步预计，上半年全国
GDP增长6.8%左右，比2016年同期加快0.1个百
分点；CPI上涨1.4%左右，涨幅比2016年同期放
缓0.7个百分点。展望下半年，在世界经济改善、
稳定性提高的同时，来自国内的不确定性有所增加，
应予以密切关注。一是货币政策和监管政策“双管
齐下”，金融去杠杆或带来流动性持续紧张和市场
利率过快上升；二是房地产“新政”下市场过快降
温可能引起信用违约、抑制真实需求并导致投资过
快下滑；三是利率上升和信贷紧张或导致企业，尤
其是中小企业的融资难、融资贵问题更加突出。预
计三季度GDP增长6.7%左右，CPI上涨1.4%左右；
全年GDP增长6.8%左右。从政策选择来看，要特
别关注各政策之间的协调与配合，避免各类政策过 ..."
78,Y2017,M07,#433,经营总体保持稳定    可持续性有待观察——中国银行全球银行业展望报告（2017年第三季度）,宏观经济与市场,Macro Economy & Market,--,中国银行国际金融研究所全球银行业研究课题组,"2017年一季度，全球经济增长呈现复苏迹象
银行业经营整体状况有所好转，规模、盈利能力
资产质量均有不同程度的改善，但也存在一定的
差异。美国和中国银行业增长稳定，英国、欧元区
南非、东盟银行业业绩回暖，但日本和巴西银行
业仍面临较大的压力。国内上市银行①资产负债平
稳增长，净利润增速有所回升，非利息收入贡献
度稳步提高，不良贷款“双升”势头减缓，拨备
覆盖率稳中有降，资本充足率稳中有升，整体经
营稳健。展望2017年下半年，全球经济金融形势
仍存在较大的不确定性，全球银行业复苏的可持
续性有待观察；中国银行业信贷增速将温和提升
信贷投向持续调整，净息差下降趋势将有所缓解
不良贷款率可保持基本稳定，普惠金融将迎来较
大的发展机遇。
作者简介：陈卫东、张兴荣、邵科、熊启跃、赵雪、韩学广、易晓溦
                  行悉尼分行； 王哲，中国银行东京分行；瞿亢，中国银行
                  黄小军，中国银行纽约分行；陈巍，中国银行巴西分行。 ..."
79,Y2017,M07,#433,“一带一路”倡议下的人民币国际化：互动、挑战与实施方案,金融前沿,Financial Foresight,--,蔡彤娟  林润红,"摘要：自2013年提出“一带一路”倡议至今，
我国与沿线各国货币合作密切，人民币跨境交易
量不断增加，为人民币国际化提供了良好的机遇
与平台。本文首先分析了我国与“一带一路”沿
线国家货币合作的现状，然后探讨了“一带一路”
与人民币国际化相互促进的机制，并分析了“一
带一路”背景下推动人民币国际化面临的挑战，
最后给出了“一带一路”背景下推动人民币国际
化的具体方案。
关键词：“一带一路”倡议；人民币国际化；人
民币区域化；相互促进
自2009年我国实行人民币跨境结算以来，人
民币国际化进程明显加快。但是在目前美欧为主导
的国际货币体系下，人民币国际化在欧美国家很难
取得突破。在此背景下，由我国主导的、跨度极广
且连接亚欧非众多国家的“一带一路”倡议，就成
为推进人民币国际化的重要平台。“一带一路”倡
议能够为人民币国际化提供充足的经济动力，创造
更多的投融资机会，进而推动人民币的跨境使用；
而人民币国际化则反过来能够为“一带一路”建设 ..."
80,Y2017,M07,#433,“债券通”进程追踪及其对商业银行的影响,金融前沿,Financial Foresight,--,鲁晓琳  滕永乐,"摘要：债券通的启动是债券市场，乃至整个资
本市场在开放进程中迈出的一大步，将成为资本市
场国际化的一部分。本文在回顾债券通进程及阐述
其意义的基础之上，针对债券通推出的市场基础，
从内地债券市场开放度不断提升、香港债券市场发
展空间巨大、内地与香港债券市场的跨境投资现状，
以及存在的挑战和可能的解决方案四个方面进行了
剖析，最后对商业银行或将面临的机遇与风险进行
了预判。
关键词：债券通；债券市场；资本市场；商业银
行
继“沪港通”、“深港通”以及两地基金互认安
排之后，“债券通”作为又一重量级的金融工具创
新的推出，意味着我国资本市场将朝着更加开放的
方向迈进。
一、“债券通”进程回顾及其意义
（一）进程回顾
“债券通”的概念首次公诸于世是在2016年1 ..."
81,Y2017,M07,#433,中国（上海）自贸试验区离岸人民币债券市场的建立,金融前沿,Financial Foresight,--,秦焕梅,"摘要：2016年以来，人民币贬值明显，尤其
是近来人民币兑美元汇率呈下跌态势，成为中美
贸易关注的焦点。虽然人民币已正式加入SDR
但人民币国际化主要取决于国际市场使用和持有
人民币的实际情况。鉴于上海自贸试验区在国家
“一带一路”建设、推动市场主体走出去战略中所
处的桥头堡的重要位置，考虑到当前全球离岸人
民币市场低迷的现状，在上海自贸试验区建立离
岸人民币债券市场显得尤为必要。本文分析了在
上海自贸试验区建立离岸人民币债券市场的迫切
性与利好，在此基础上，对其可行性及其实施运
行的关键点进行了深入研究。
关键词：自由贸易试验区；离岸人民币市场
债券市场；人民币债券 ..."
82,Y2017,M07,#433,预期管理与期货市场,金融前沿,Financial Foresight,--,张秀青,"摘要：近两年来，我国经济增速开始回落，供
给侧结构性改革不断推进，出现了“经济增长放缓、
股市期市房市过热”等现象。这使得社会对宏观经
济前景的预期出现分化，并在一定程度上影响了国
民经济的平稳运行。这凸显了加强预期管理的重要
性。本文首先回顾了预期管理理论的发展历史并阐
述了现有预期测度方法的不足。在此基础上，本文
从理论上分析了期货市场的功能，说明其不仅可用
于宏观预期，而且还能有效克服传统预期测度方法
的实施障碍；同时，介绍了在预期管理中如何运用
期货市场数据，并通过近三年的数据对经济走势进
行了分析研判。最后，是本文对期货市场如何更好
地服务于宏观预期管理的建议。
关键词：预期管理；期货市场；基差；近远月价
差；宏观经济；形势预判
预期是人们对未来经济变量变化趋势的主观
判断和估计，是影响宏观经济运行的重要变量。自
2008年金融危机以来，预期管理已成为国内外学
术界和政策界所关注的焦点，我国政府也将“管理
好通胀预期”作为宏观经济调控的重要着力点。近 ..."
83,Y2017,M07,#433,政府引导基金发展现状及其推进策略,金融前沿,Financial Foresight,--,孙雯  张晓丽  邱峰,"摘要：政府引导基金所带来的“补改投”,无疑
提供了一种优化手段，即采取市场化方式支持产业和
企业发展。当前，我国政府引导基金倍受热捧，持续
升温，数量和规模猛增，很好地发挥了财政资金的引
领和杠杆作用；但另一方面，也一直面临政府干预过
多，利益诉求存在分歧，投资限制条件偏多，无法形
成有效投资，造成资金闲置浪费，以及绩效考核评价
机制与监管有待补位等诸多亟待解决的问题。应进一
步完善政府引导基金的运作机制，探索有序推进、规
范管理、合理运用这一市场化政策工具的有效途径
不断提升社会资本与之合作的吸引力。
关键词：政府引导基金；现状特征；积极效能；存
在问题；探索路径
引言
境外政府引导基金发端于1958年美国启动的小企
业投资公司（SBIC）计划，苹果电脑、英特尔、联邦
快递和美国在线等知名企业的起步阶段，均曾受惠于
此。世界上已积累了较为成熟的运作经验，各具特点 ..."
84,Y2017,M08,#434,经济增长模式与金融体系的痛苦转型—— 韩国金融危机20周年回顾,时评,Review,--,贺力平,"二十年前，当东亚金融危机爆发时，地区内外
的众多人士都感到十分意外。在危机爆发前几年
世界银行刚刚发布了由斯蒂格利兹等参与撰写的
《亚洲经济奇迹》大型研究报告，高度赞赏亚洲发
展模型，并认为亚洲新兴市场经济体自二十世纪七
十年代以来的高速经济增长，为世界上所有发展中
国家提供了一个典范。
在东亚金融危机爆发之初，流行舆论纷纷指责
国际短期资本流动，将之斥为“热钱”“游资”或
“投机资本大鳄”等等。外因论一度甚嚣尘上。后
来，不少人士认识到，东亚经济体自身也存在问题
包括经济过热、房地产泡沫、对外负债过多等等
但仍有一些人士坚持认为，东亚经济体基础层面因
素从根本上来说是良好的，东亚金融危机实质是一
场流动性不足（Liquidity），而不是资不抵债问题
（Insolvency）；因此，作为金融危机救助者的国际货
币基金组织（IMF）及其不当作为，似乎才应对金
融危机在东亚地区的广泛蔓延担负更大的责任。再
后来，越来越多的人士，包括东亚的本地人士都认 ..."
85,Y2017,M08,#434,国际债券市场发展的现状和趋势,银行家论坛,Banker's Forum,--,钟红,"国际债券市场是国内债券市场债权债务关系在
全球背景下的一个延伸。国际债券市场起源于20
世纪50年代末、60年代初。在“马歇尔计划”①实
施的背景下，美国对欧洲国家援助的美元流入促成
了欧洲美元债券的产生，而美国国际金融中心的形
成则催生了“扬基债券”等外国债券市场。这一时
期也是国际债券发展的初级阶段。到20世纪80年
代，国际债券市场有了新的发展，主要表现在国际
债券市场规模的迅速扩大，成为国际金融市场上的
主要融资手段，并且欧洲债券市场的规模超过外国
债券市场。这一时期，利率和各种费用的进一步降
低，融资技术和融资工具的不断创新，以及金融自
由化和金融工具的发展，促进了国际债券市场的繁
荣。进入上世纪90年代后，随着全球经济的一体
化和自由化，国际资本市场的全球化进程进一步加
速，资本流动的空前增长进一步推动了国际债券市
场的发展。这一时期，国际债券融资规模急剧增长
国际债券的类别结构、币种结构和融资者国别结构
都发生了巨大变化。进入21世纪后，国际债券市
作者简介：钟红，中国银行国际金融研究所副所长。
①1947年美国杜鲁门政府的国务卿马歇尔制订了一项向欧洲16个国 ..."
86,Y2017,M08,#434,从中美比较看中国央行“缩表”的特征、原因和前景,中美“缩表”,Special Column,--,范若滢,"摘要：中美两国央行资产负债表在项目结构、金
融危机后的扩张等方面存在明显差异。历史上，中国
央行“缩表”与货币政策操作的关系并不明显，但本
轮“缩表”主要贡献来自对其他存款性公司债权的减
少，更多体现了央行的主动性，与货币政策中性偏紧
的方向一致，且在与趋严的金融监管的叠加作用下
对商业银行等金融机构产生了明显影响。央行主动降
低流动性、财政支出加大和季节性因素，都是导致本
轮中国央行“缩表”的原因。鉴于经济复苏的可持续
性仍有待观察，商业银行受到货币政策趋紧和监管趋
严的双重压力，以及中国前期扩表规模不及美国，并
无强烈的“缩表”压力，本文认为，短期内中国央行
进一步“缩表”的可能性不大；但应警惕由美联储“缩
表”带来的被动“缩表”。
关键词：资产负债表；货币政策；缩表；金融监管
2017年一季度，中国央行资产负债表规模连续两
个月收缩，共计1.1万亿元。鉴于近期美联储对2017
年“缩表”计划基本达成共识,此次中国央行“缩表
引起了市场的广泛关注。本文将基于中美比较对本轮
中国央行“缩表”的特征、原因和前景进行分析。 ..."
87,Y2017,M08,#434,美联储紧缩性货币政策初探,中美“缩表”,Special Column,--,陈丰,"随着美国经济温和复苏，美联储货币政策又逐
渐转向鹰派。除了传统的加息政策之外，美联储也
在考虑缩减其庞大的资产负债表。2017年6月15
日，美联储决定在加息基础上，再次启动货币政策
正常化进程，提出了详尽减少美国国债和MBS计划
事实上，早在2014年5月，美联储就已经开始减
少国债和MBS资产购买规模，并对全球流动性产生
了影响。那么接下来美联储该如何实施紧缩性货币
政策？缩表还是加息，进度如何？又会对美国经济
及全球流动性产生怎样的影响？
一、 美联储紧缩性货币政策背景——
三轮量化宽松货币政策
（一）次贷危机后美联储三次大规模量化
宽松货币政策直接导致美联储资产规模和基
础货币迅速增长
2007年次贷危机后，美联储为应对危机于
2008年当年通过购买资产投入大量流动性。在第一
轮量化宽松货币政策中，美联储资产规模从2008
年8月20日的约9000亿美元直线上升到同年12
月17日的2.2万亿美元，3个月内扩大了1倍多 ..."
88,Y2017,M08,#434,创新经营模式 构筑区域协同优势 提升市场竞争力—— 中国银行粤港澳大湾区联动经营的启示,银行业经营管理,Banking Management,--,高翔  何东辉,"2017年5月14日，“一带一路”国际高峰论坛
在京举行。会议不仅硕果累累，更向世人展开了一
幅“一带一路”互联互通、互利共赢的世界经济新
格局的宏伟画卷。面对这幅画卷，相信国内金融巨
子们都难以平静。这分明不是“弯道超车”之机，
活生生就是“跑马圈地”之遇。如何排兵布阵、谋
定策动，挑战着决策者们的智慧。本文就中国银行
业应如何抢抓发展机遇、创新经营模式，提升市场
竞争力展开初步探讨。
一、机遇与挑战
习近平总书记在“一带一路”国际高峰论坛上
指出，2014年至2016年，中国同“一带一路”沿
线国家贸易总额超过3万亿美元；中国对“一带一
路”沿线国家投资累计超过500亿美元；中国企业
已经在20多个国家建起了56个经贸合作区，为有
关国家创造了近11亿美元的税收和18万个就业岗
位。会上，习总书记还宣布，中国将加大对“一带 ..."
89,Y2017,M08,#434,金融科技背景下中国银行业相关发展与未来建议,银行业经营管理,Banking Management,--,林文渊,"摘要：在宏观环境、客户偏好、竞争对手均出
现改变的情况下，国内商业银行正面临快速发展后
的增长“怠速”，存在转型升级的迫切需求。另一
方面，金融科技历经三代发展，正更大程度地以科
技革新金融活动。本文结合科技在国内商业银行由
浅至深的运用，为“银行科技”划分代际。在回顾
自2012年国内“互联网金融”兴起、发展，以及
对商业银行产生的触动的基础上，对商业银行进行
能力分析。本文最后提出了商业银行未来在金融科
技领域发展和应对竞争的建议。
关键词：金融科技；商业银行；互联网金融；发
展；建议
一、银行经营现状
2016年，国内银行业经营业绩虽有所企稳，但
传统经营模式困局也进一步暴露，新业务承接、新
发展方向有待探索。
（一）经营业绩
在2016年国内银行经营业绩报告中，多数银行 ..."
90,Y2017,M08,#434,当前房地产贷款风险管理研究 —— 以广东为视角,银行业经营管理,Banking Management,--,谢洁华  李成青,"摘要：2016年以来，国家密集出台房地产调控
政策，加强对房地产行业的管理，以促进房地产平
稳发展。在金融监管方面，房地产风险也成为重点
排查领域：人民银行、银监会近期连续下发关于银
行业风险防控的文件，严禁银行资金违规流入房地
产领域，并启动了一系列专项整治，以进一步加强
房地产金融宏观审慎管理，防范相关金融风险。当
前，国内房地产投资增长速度及销售情况回落，行
业发展面临较大的政策不确定性，整体行业风险压
力加大。鉴此，分析研究当前房地产发展特征，总
结规律，有助于商业银行加强对房地产贷款风险的
管理，进一步防范相关金融风险。鉴于广东在全国
房地产市场中占比较高，且发展特征与全国市场一
致，本文以广东房地产市场为切入点，结合A银行
的市场调研情况，进一步分析总结当前房地产的经
营特点和风险节点。最后，本文提出了当前防范房
地产贷款风险的管理意见。
关键词：房地产；信用风险；风险管理
2016年，广东房地产开发总量居全国第一，其
房地产市场占全国的10%左右。近期，广东密集出 ..."
91,Y2017,M08,#434,经济增长的国际经验及对中国的启示—— 以美国和日本为例,宏观经济与市场,Macro Economy & Market,--,邵文波  匡霞  刘健,"摘要：本文将经济增长区分为三个阶段，分别
就美国和日本在不同阶段遇到的关键问题和采取的
政策措施进行了深入分析，通过总结不同国家的经
验教训，指出经济长期可持续增长需要供给与需求
的匹配；而由发展中国家向发达国家转变，跨越“中
等收入陷阱”的核心问题，是提高整体居民的收入
水平。在此基础上，本文分析了中国目前所处的发
展阶段，并针对存在的问题提出了相应的政策建议
本文特别指出，当前在进行供给侧结构性改革的同
时，不能忽视需求因素。
关键词：中等收入陷阱；经济增长；美国经济
日本经济
改革开放以后，中国经济经历了近三十年的高
速增长，从1979年到2007年，年均增长速度接近
10%。然而，2008年金融危机之后，情况发生了变
化：伴随着经济增长速度的下降，产业结构不合理
供需结构失衡，以及收入分配不合理等问题开始凸
显。针对这些问题，政府采取了包括“供给侧结构
性改革”在内的一系列应对措施。尽管取得了一定 ..."
92,Y2017,M08,#434,市场化债转股：国内外实践、存在问题和对策研究,金融前沿,Financial Foresight,--,叶文辉,"摘要：2016年10月，我国正式启动新一轮市
场化债转股，并将其作为去杠杠、化解银行不良资
产和推动企业股权多元化经营的重要手段。本文在
借鉴国内外债转股经验和教训的基础上，比较分析
了本轮债转股与上世纪90年代首轮债转股的主要
差异，指出了当前债转股过程中存在的制度障碍和
问题，并提出应通过健全市场化债转股的顶层政策
设计、合理控制债转股的规模和比例、完善股东权
益保护和市场化退出机制及推动债转股运作模式创
新等措施，更好地发挥债转股的实际效果的建议。
关键词：债转股；不良资产处置；去杠杆；国内
外经验
一、债转股的内涵和主要类型
债转股，即债权转股权的简称。根据2011年
颁布的《公司债权转股权登记管理办法》，债权转
股权是指债权人以其依法享有的对公司的债权，转
为公司股权，增加公司注册资本的行为。债转股一
般用于不良资产处置领域，是银行对资产保全和对 ..."
93,Y2017,M08,#434,国有资本投资运营公司发展模式的投行化前瞻,金融前沿,Financial Foresight,--,谢毓祯,"摘要：国有资本投资、运营公司作为现代企业制
度管理形态，是我国新一轮国资国企改革的重要战
略载体，已形成专业化国有资本投资运营集团模式
国企混改背景下的产融结合模式两种主要类型。随
着国有资本投资、运营公司改革的推进，需要嵌入投
行业务体系，突出国有资本投资运营的“金融+”思
维；同时，完善运营管理模式，构建国有资本投资运
营的“契约+”体系，实现经济新常态下的国资国企
改革战略目标。
关键词：国有资本；投资；运营；投行化
前言
历经30多年的螺旋式改革突破，我国国企国
资正在由“管资产”向“管资本”的高级形态跃进
国有资本投资、运营公司作为经济新常态下国有
资本的战略实施载体，目前的经营模式以投资融
资和项目建设为主，对众多国民经济行业的企业
持股，并对所投资企业履行国有资本出资人的权 ..."
94,Y2017,M08,#434,互联网金融消费者保护机制：反思与重构,金融前沿,Financial Foresight,--,史广龙,"摘要：中国互联网金融市场行为监管尚处于发
展初期，消费者保护应遵循循序渐进、逐步完善的
路径。制度设计要从中国的现状出发，充分考虑中
国金融消费者非理性行为的特点，对国外经验进行
有针对性的取舍，逐渐确立起从监管机构、行业协
会到消费者组织的综合性、全方位、具有可操作性
与执行力的互联网金融消费者保护机制，弥补单纯
机构监管的不足与缺失。
关键词：互联网金融；行为监管；金融消费者
保护机制
近年来，互联网金融平台风险事件集中爆发
2015年7月涉案金额高达430亿元的泛亚交易所
P2P类产品“日金宝”陷入兑付危机；同年12月
投资总额累计超过750亿元的E租宝网贷平台涉嫌
非法吸收公众存款罪被立案侦查；甚至一向以稳健
著称的蚂蚁金服招财宝在2016年底也发生了旗下
侨兴项目相关理财产品的重大违约事件。这一切引
起了监管层对于互联网金融可能造成大规模系统性
风险的警觉，并重拳出击，先后颁布和实施了《关 ..."
95,Y2017,M09,#435,再通胀的起落,时评,Review,--,伍戈  黄俊筑  黎煜,"摘要：中国，乃至全球经济2016年以来最为显
著的变化，莫过于以PPI回暖为标志的再通胀进程
测算表明，中国对CRB的贡献率位居全球首位，中
国因素在再通胀中发挥着不可或缺的作用。进一步
的研究发现，本轮CRB上涨过程中涨幅最大的是金
属，而中国是其最主要的贡献者。事实上，中国的
国内需求并不足以支撑钢价如此暴涨，是以行政性
限产为主要特征的供给侧改革，构成了推动此轮中
国，乃至全球CRB及PPI上涨的重要原因。展望未
来，中国经济的内需动能将随着房地产调控和金融
去杠杆而逐步放缓，供给侧方面的行政限产力度在
2016年经验教训的基础上或将有所减弱，类似的脉
冲式经济复苏将难以重现。这将进一步引致全球再
通胀及经济动能的衰减，中国的外需也终将承压并
拖累国内经济。
关键词：再通胀；中国经济；供给侧改革
引言
2016年9月，中国的PPI在持续54个月为负 ..."
96,Y2017,M09,#435,马克龙的经济政策及对中法合作的影响,银行家论坛,Banker's Forum,--,潘诺  汪信君  郭亮,"摘要：2017年5月7日，马克龙在法国大选中
击败了极右翼候选人勒庞当选了新一任总统。6月
18日的议会选举中，其所在共和前进党和同盟民主
运动党赢得了议会的360个多数席位。马克龙的当
选增强了欧盟和欧元的稳定性，但是近50年来的
最低投票率（74.62%）以及11.49%的无效票率（包
括投白票和废票），反映出法国人对政治经济现状
的强烈不满。马克龙计划部分延续前任政府自2012
年以来的改革政策，试图从刺激内需和结构改革入
手继续推动法国经济。然而由于政治和社会存在诸
多不确定因素，法国经济恢复强劲仍然任重道远
对于中国而言，马克龙当选意义重大，有利于欧洲
继续支持“一带一路”战略，并依靠欧元来制衡美元
从而实现人民币的国际化。鉴于马克龙重整经济和
降低失业率的决心，以及他对全球化的认同，我们
预计，法国未来对中法合作会持积极态度；但也要
注意到马克龙对于欧盟的积极支持态度，或会给中
国带来一些挑战。
关键词：马克龙的经济政策；法国经济；中法合作 ..."
97,Y2017,M09,#435,中美资产证券化发展模式的比较与探讨,资产证券化,Special Column,--,杨望  武畅,"摘要：资产证券化市场发展迅速，规模不断扩
大，受到各国政府和投资者的关注。本文主要通过
比较和探讨美国和中国资产证券化不同的发展路
径、发展现状来展现不同背景下资产证券化发展模
式的异同，并提出了对未来中国资产证券化发展的
期待和展望。
关键词：资产证券化；业务模式
伴随着全球经济的一体化，各大经济体也逐步
融入到世界范围的经济大潮中。企业的经营贸易环
境面临着资金端和资产端的巨大变化。以中、美资
产证券化为代表的结构性融资市场发展十分迅速，
在很大程度上推动了全球资本市场的创新。
一、资产证券化的内涵
对投资者而言，资产证券化（Asset-Backed 
Securities，简称ABS）是指企业或者金融机构将
其能产生未来现金收益的资产加以组合，然后以 ..."
